Etablissement;Annee;Ville;UAI;Code commune;Academie;Departement;Secteur;Presents - L;Presents - ES;Presents - S;Presents - STG;Presents - STI2D;Presents - STD2A;Presents - STMG;Presents - STI;Presents - STL;Presents - ST2S;Presents - TMD;Presents - STHR;Presents - Toutes series;Taux de reussite - L;Taux de reussite - ES;Taux de reussite - S;Taux de reussite - STG;Taux de reussite - STI2D;Taux de reussite - STD2A;Taux de reussite - STMG;Taux de reussite - STI;Taux de reussite - STL;Taux de reussite - ST2S;Taux de reussite - TMD;Taux de reussite - STHR;Taux de reussite - Toutes series;Taux de reussite attendu acad - L;Taux de reussite attendu acad - ES;Taux de reussite attendu acad - S;Taux de reussite attendu acad - STG;Taux de reussite attendu acad - STI2D;Taux de reussite attendu acad - STD2A;Taux de reussite attendu acad - STMG;Taux de reussite attendu acad - STI;Taux de reussite attendu acad - STL;Taux de reussite attendu acad - ST2S;Taux de reussite attendu acad - TMD;Taux de reussite attendu acad - STHR;Taux de reussite attendu acad - Toutes series;Taux de reussite attendu france - L;Taux de reussite attendu france - ES;Taux de reussite attendu france - S;Taux de reussite attendu france - STG;Taux de reussite attendu france - STI2D;Taux de reussite attendu france - STD2A;Taux de reussite attendu france - STMG;Taux de reussite attendu france - STI;Taux de reussite attendu france - STL;Taux de reussite attendu france - ST2S;Taux de reussite attendu france - TMD;Taux de reussite attendu france - STHR;Taux de reussite attendu france - Toutes series;Taux de mentions - L;Taux de mentions - ES;Taux de mentions - S;Taux de mentions - STI2D;Taux de mentions - STD2A;Taux de mentions - STMG;Taux de mentions - STL;Taux de mentions - ST2S;Taux de mentions - TMD;Taux de mentions - STHR;Taux de mentions - Toutes series;Taux de mentions attendu - L;Taux de mentions attendu - ES;Taux de mentions attendu - S;Taux de mentions attendu - STI2D;Taux de mentions attendu - STD2A;Taux de mentions attendu - STMG;Taux de mentions attendu - STL;Taux de mentions attendu - ST2S;Taux de mentions attendu - TMD;Taux de mentions attendu - STHR;Taux de mentions attendu - Toutes series;Structure pedagogique 5 groupes;Structure pedagogique 7 groupes;Pourcentage bacheliers sortants 2de 1re Terminale Etablissement;Pourcentage bacheliers sortants Terminales Etablissement;Pourcentage bacheliers sortants 2de 1re Terminale Acad;Pourcentage bacheliers sortants Terminale Acad;Pourcentage bacheliers sortants 2de 1re Terminale France;Pourcentage bacheliers sortants Terminale France;Effectif de seconde;Effectif de premiere;Effectif de terminale;Taux d'acces 2nde-bac;Taux d'acces attendu acad 2nde-bac;Taux d'acces attendu france 2nde-bac;Taux d'acces 1ere-bac;Taux d'acces attendu acad 1ere-bac;Taux d'acces attendu france 1ere-bac;Taux d'acces terminale-bac;Taux d'acces attendu france terminale-bac;Region;Code region;code_departement;Departement.1;Valeur ajoutee du taux de reussite - Toutes series;Valeur ajoutee du taux d'acces 2nde-bac;Valeur ajoutee du taux de mentions - Toutes series;Valeur ajoutee du taux de reussite - L;Valeur ajoutee du taux de reussite - ES;Valeur ajoutee du taux de reussite - S;Valeur ajoutee du taux de reussite - STG;Valeur ajoutee du taux de reussite - STI2D;Valeur ajoutee du taux de reussite - STD2A;Valeur ajoutee du taux de reussite - STMG;Valeur ajoutee du taux de reussite - STI;Valeur ajoutee du taux de reussite - STL;Valeur ajoutee du taux de reussite - ST2S;Valeur ajoutee du taux de reussite - TMD;Valeur ajoutee du taux de reussite - STHR;Valeur ajoutee du taux d'acces 1ere-bac;Valeur ajoutee du taux d'acces terminale-bac;Valeur ajoutee du taux de mentions - L;Valeur ajoutee du taux de mentions - ES;Valeur ajoutee du taux de mentions - S;Valeur ajoutee du taux de mentions - STI2D;Valeur ajoutee du taux de mentions - STD2A;Valeur ajoutee du taux de mentions - STMG;Valeur ajoutee du taux de mentions - STL;Valeur ajoutee du taux de mentions - ST2S;Valeur ajoutee du taux de mentions - TMD;Valeur ajoutee du taux de mentions - STHR;Identifiant_de_l_etablissement;Nom_etablissement;Type_etablissement;Statut_public_prive;Adresse_1;Adresse_2;Adresse_3;Code postal;Code_commune;Nom_commune;Code_departement;Code_academie;Code_region;Ecole_maternelle;Ecole_elementaire;Voie_generale;Voie_technologique;Voie_professionnelle;Telephone;Fax;Web;Mail;Restauration;Hebergement;ULIS;Apprentissage;Segpa;Section_arts;Section_cinema;Section_theatre;Section_sport;Section_internationale;Section_europeenne;Lycee_Agricole;Lycee_militaire;Lycee_des_metiers;Post_BAC;Appartenance_Education_Prioritaire;GRETA;SIREN_SIRET;Nombre_d_eleves;Fiche_onisep;position;Type_contrat_prive;Libelle_departement;Libelle_academie;Libelle_region;coordonnee_X;coordonnee_Y;epsg;nom_circonscription;latitude;longitude;precision_localisation;date_ouverture;date_maj_ligne;etat;ministere_tutelle;etablissement_multi_lignes;rpi_concentre;rpi_disperse;code_nature;libelle_nature;Code_type_contrat_prive;PIAL;etablissement_mere;type_rattachement_etablissement_mere;code_bassin_formation;libelle_bassin_formation
LYCEE SAINT-NICOLAS;2012;PARIS 06;0754025T;75106;PARIS;Paris;PR;;;18.0;53.0;;;;80.0;;;;;151;;;89.0;94.0;;;;100.0;;;;;97;;;88.0;96.0;;;;99.0;;;;;97.0;;;89;93.0;;;;93.0;;;;;92;;;;;;;;;;;;;;;;;;;;;;;6.0;;68.0;95.0;75.0;94.0;72.0;90.0;125.0;165.0;;52;45.0;57;81.0;75.0;89;;;Ile-de-France;11;75;Paris;5;-5;;;;0;1;;;;7.0;;;;;-8;;;;;;;;;;;;0754025T;Lycée technique privé Saint-Nicolas;Lycée;Privé;108 rue de Vaugirard;;75006 Paris;75006.0;75100;Paris;075;1.0;11.0;;;1.0;1.0;0.0;01 42 22 79 75;01 45 49 28 74;http://www.lyceesaintnicolas.com;contact@lyceesaintnicolas.org;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;;0.0;77566401400013.0;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15995;48.8459982856,2.32303028111;CONTRAT D'ASSOCIATION TOUTES CLASSES;Paris;Paris;Ile-de-France;650318.7;6860874.4;EPSG:2154;;48.84599828555845;2.3230302811052352;Numéro de rue;1968-03-15;2021-10-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0.0;0.0;;306.0;LYCEE POLYVALENT;30;;;;01000;BASSIN PARIS
LYCEE JANSON DE SAILLY;2012;PARIS 16;0750699C;75116;PARIS;Paris;PU;36.0;105.0;203.0;;;;;;;;;;344;100.0;90.0;98.0;;;;;;;;;;95;97.0;97.0;98.0;;;;;;;;;;98.0;95;96;97;;;;;;;;;;97;;;;;;;;;;;;;;;;;;;;;;;3.0;;89.0;97.0;75.0;94.0;72.0;92.0;375.0;367.0;;88;80.0;78;94.0;93.0;93;;;Ile-de-France;11;75;Paris;-2;10;;5;-6;1;;;;;;;;;;1;;;;;;;;;;;;0750699C;Lycée Janson de Sailly;Lycée;Public;106 rue de la Pompe;;75016 Paris;75016.0;75100;Paris;075;1.0;11.0;;;1.0;1.0;0.0;01 55 73 28 00;01 45 53 43 90;http://www.janson-de-sailly.fr;ce.0750699c@ac-paris.fr;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;;0.0;19750699100011;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11498;48.8655502676,2.27943957152;SANS OBJET;Paris;Paris;Ile-de-France;647139.6;6863076.7;EPSG:2154;;48.86555026763203;2.27943957152144;Numéro de rue;1965-05-01;2021-10-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0.0;0.0;;300.0;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;99;0750699C;;;01000;BASSIN PARIS
LYCEE SINAI;2012;PARIS 18;0753231E;75118;PARIS;Paris;PR;;15.0;9.0;15.0;;;;;;;;;39;;100.0;100.0;100.0;;;;;;;;;100;;98.0;97.0;96.0;;;;;;;;;97.0;;93;94;89.0;;;;;;;;;92;;;;;;;;;;;;;;;;;;;;;;;2.0;;78.0;100.0;75.0;94.0;75.0;92.0;36.0;37.0;;72;80.0;76;82.0;89.0;90;;;Ile-de-France;11;75;Paris;8;-4;;;7;6;11;;;;;;;;;-8;;;;;;;;;;;;0753231E;Lycée privé Sinaï;Lycée;Privé;2-6 rue Tristan Tzara;;75018 Paris;75018.0;75100;Paris;075;1.0;11.0;;;1.0;1.0;0.0;01 40 38 02 02;;;clfsinai@gmail.com;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;49025488500026;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.14992;48.8944949288,2.36600027617;CONTRAT ASSOCIATION PARTIE DES CLASSES;Paris;Paris;Ile-de-France;653515.4;6866240.7;EPSG:2154;;48.89449492876749;2.366000276170941;Numéro de rue;1984-09-01;2021-10-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0.0;0.0;;300.0;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;31;;;;01000;BASSIN PARIS
LYCEE JEAN LURCAT (GENERAL ET TECHNO.);2012;PARIS 13;0753268V;75113;PARIS;Paris;PU;;25.0;;94.0;;;;;;;;;119;;60.0;;87.0;;;;;;;;;82;;57.0;;86.0;;;;;;;;;80.0;;78;;81.0;;;;;;;;;81;;;;;;;;;;;;;;;;;;;;;;;2.0;;70.0;87.0;74.0;93.0;75.0;92.0;68.0;113.0;;51;51.0;52;80.0;72.0;67;;;Ile-de-France;11;75;Paris;1;-1;;;-18;;6;;;;;;;;;13;;;;;;;;;;;;0753268V;lycée polyvalent Jean Lurçat - Site Gobelins;Lycée;Public;48 avenue des Gobelins;;75013 Paris;75013.0;75100;Paris;075;1.0;11.0;;;0.0;1.0;0.0;01 44 08 70 20;01 43 36 00 23;http://www.lycee-jean-lurcat.net;ce.0753268V@ac-paris.fr;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;;0.0;19753268200014.0;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16761;48.8342608034,2.35329063288;SANS OBJET;Paris;Paris;Ile-de-France;652528.7;6859550.7;EPSG:2154;;48.83426080336663;2.3532906328797534;Numéro de rue;1966-09-30;2021-10-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0.0;0.0;;306.0;LYCEE POLYVALENT;99;0750787Y;;;01000;BASSIN PARIS
ECOLE ALSACIENNE;2012;PARIS 06;0753647G;75106;PARIS;Paris;PR;22.0;44.0;89.0;;;;;;;;;;155;100.0;98.0;100.0;;;;;;;;;;99;100.0;99.0;99.0;;;;;;;;;;99.0;99;99;99;;;;;;;;;;99;;;;;;;;;;;;;;;;;;;;;;;1.0;;91.0;100.0;75.0;94.0;73.0;96.0;159.0;155.0;;89;87.0;85;95.0;95.0;95;;;Ile-de-France;11;75;Paris;0;4;;1;-1;1;;;;;;;;;;0;;;;;;;;;;;;0753647G;Lycée privé L'Ecole alsacienne;Lycée;Privé;109 rue Notre-Dame des Champs;;75006 Paris;75006.0;75100;Paris;075;1.0;11.0;;;1.0;0.0;0.0;01 44 32 04 70;01 43 29 02 84;http://www.ecole-alsacienne.org;courrier@ecole-alsacienne.org;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;;0.0;78428085100014.0;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15682;48.8410044284,2.33381959399;CONTRAT D'ASSOCIATION TOUTES CLASSES;Paris;Paris;Ile-de-France;651105.8;6860312.4;EPSG:2154;;48.84100442841867;2.333819593992199;Numéro de rue;1966-06-28;2021-10-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0.0;0.0;;302.0;LYCEE D ENSEIGNEMENT GENERAL;30;;;;01000;BASSIN PARIS
LYCEE YABNE;2012;PARIS 13;0753834K;75113;PARIS;Paris;PR;;30.0;104.0;;;;;;;;;;134;;100.0;100.0;;;;;;;;;;100;;96.0;97.0;;;;;;;;;;97.0;;93;95;;;;;;;;;;95;;;;;;;;;;;;;;;;;;;;;;;1.0;;83.0;100.0;75.0;94.0;73.0;96.0;164.0;148.0;;82;82.0;77;96.0;93.0;94;;;Ile-de-France;11;75;Paris;5;5;;;7;5;;;;;;;;;;2;;;;;;;;;;;;0753834K;Lycée privé Yabné;Lycée;Privé;29 avenue Léon Bollée;;75013 Paris;75013.0;75100;Paris;075;1.0;11.0;;;1.0;0.0;0.0;01 44 24 85 85;01 44 24 80 70;http://www.yabne.org;secretariat_direction@yabne.org;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;78425931900035;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.3332;48.8178942068,2.36220989923;CONTRAT D'ASSOCIATION TOUTES CLASSES;Paris;Paris;Ile-de-France;653168.7;6857725.6;EPSG:2154;;48.81789420678753;2.362209899228951;Numéro de rue;1968-02-28;2021-10-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0.0;0.0;;302.0;LYCEE D ENSEIGNEMENT GENERAL;30;;;;01000;BASSIN PARIS
LYCEE L'ALMA;2012;PARIS 07;0753849B;75107;PARIS;Paris;PR;;56.0;23.0;;;;;;;;;;79;;100.0;100.0;;;;;;;;;;100;;99.0;99.0;;;;;;;;;;99.0;;99;99;;;;;;;;;;99;;;;;;;;;;;;;;;;;;;;;;;1.0;;74.0;95.0;75.0;94.0;73.0;96.0;97.0;95.0;;71;79.0;76;90.0;94.0;93;;;Ile-de-France;11;75;Paris;1;-5;;;1;1;;;;;;;;;;-3;;;;;;;;;;;;0753849B;Lycée privé de l'Alma;Lycée;Privé;12 avenue Bosquet;;75007 Paris;75007.0;75100;Paris;075;1.0;11.0;;;1.0;0.0;0.0;01 44 18 62 82;01 44 18 62 80;http://www.ecl-alma.com;contact@ecl-alma.com;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;;0.0;78430833000033.0;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16095;48.860314747,2.30260047355;CONTRAT D'ASSOCIATION TOUTES CLASSES;Paris;Paris;Ile-de-France;648833.5;6862479.3;EPSG:2154;;48.86031474695041;2.302600473550888;Numéro de rue;1968-03-01;2021-10-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0.0;0.0;;302.0;LYCEE D ENSEIGNEMENT GENERAL;30;;;;01000;BASSIN PARIS
LYCEE CLAUDE BERNARD;2012;PARIS 16;0750698B;75116;PARIS;Paris;PU;32.0;50.0;61.0;44.0;;;;;;;;;187;88.0;88.0;82.0;100.0;;;;;;;;;89;93.0;95.0;87.0;93.0;;;;;;;;;91.0;92;94;87;89.0;;;;;;;;;90;;;;;;;;;;;;;;;;;;;;;;;2.0;;72.0;91.0;75.0;94.0;75.0;92.0;215.0;177.0;;69;61.0;66;86.0;85.0;86;;;Ile-de-France;11;75;Paris;-1;3;;-4;-6;-5;11;;;;;;;;;0;;;;;;;;;;;;0750698B;Lycée Claude Bernard;Lycée;Public;1 avenue du Parc des Princes;;75016 Paris;75016.0;75100;Paris;075;1.0;11.0;;;1.0;1.0;0.0;01 46 51 16 63;01 46 51 82 40;http://lyc-claude-bernard.scola.ac-paris.fr;ce.0750698b@ac-paris.fr;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;;1.0;19750698300018;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.957;48.8419781372,2.25493959631;SANS OBJET;Paris;Paris;Ile-de-France;645317.6;6860472.4;EPSG:2154;;48.8419781372156;2.2549395963136414;Numéro de rue;1965-05-01;2021-10-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0.0;0.0;;300.0;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;99;0752547L;;;01000;BASSIN PARIS
LYCEE SAINT-THOMAS D'AQUIN;2012;PARIS 07;0753850C;75107;PARIS;Paris;PR;19.0;53.0;27.0;;;;;;;;;;99;100.0;100.0;100.0;;;;;;;;;;100;96.0;97.0;98.0;;;;;;;;;;97.0;94;96;97;;;;;;;;;;96;;;;;;;;;;;;;;;;;;;;;;;1.0;;73.0;100.0;75.0;94.0;73.0;96.0;153.0;114.0;;70;74.0;65;89.0;90.0;84;;;Ile-de-France;11;75;Paris;4;5;;6;4;3;;;;;;;;;;5;;;;;;;;;;;;0753850C;Lycée privé Saint-Thomas d'Aquin;Lycée;Privé;44 rue de Grenelle;;75007 Paris;75007.0;75100;Paris;075;1.0;11.0;;;1.0;0.0;0.0;01 45 49 65 60;01 45 48 82 31;http://www.lyceesta.fr;secretariat@lyceesta.fr;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;78430832200022;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5245;48.8541361056,2.32677057462;CONTRAT D'ASSOCIATION TOUTES CLASSES;Paris;Paris;Ile-de-France;650600.9;6861776.9;EPSG:2154;;48.85413610557409;2.3267705746216647;Numéro de rue;1968-03-01;2021-10-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0.0;0.0;;302.0;LYCEE D ENSEIGNEMENT GENERAL;30;;;;01000;BASSIN PARIS
LYCEE FENELON SAINTE-MARIE;2012;PARIS 08;0753873C;75108;PARIS;Paris;PR;19.0;95.0;122.0;;;;;;;;;;236;100.0;99.0;100.0;;;;;;;;;;100;99.0;100.0;100.0;;;;;;;;;;100.0;98;99;99;;;;;;;;;;99;;;;;;;;;;;;;;;;;;;;;;;1.0;;88.0;100.0;75.0;94.0;73.0;96.0;278.0;256.0;;86;86.0;86;95.0;95.0;95;;;Ile-de-France;11;75;Paris;1;0;;2;0;1;;;;;;;;;;0;;;;;;;;;;;;0753873C;Lycée privé Fénelon Sainte-Marie La Plaine Monceau;Lycée;Privé;47 rue de Naples;;75008 Paris;75008.0;75100;Paris;075;1.0;11.0;;;1.0;0.0;0.0;01 45 22 05 35;01 45 22 93 53;http://www.fenelonsaintemarie.org;lycee@groupefenelon.org;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;;0.0;77567111800047;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.7366;48.8791680605,2.31638007803;CONTRAT D'ASSOCIATION TOUTES CLASSES;Paris;Paris;Ile-de-France;649862.6;6864566.8;EPSG:2154;;48.87916806048798;2.316380078031548;Numéro de rue;1968-03-08;2021-10-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0.0;0.0;;302.0;LYCEE D ENSEIGNEMENT GENERAL;30;;;;01000;BASSIN PARIS
